participant.id_in_session,participant.risky_urn5_color_code1,participant.risky_urn5_color_code2,participant.risky_urn2_color_code,participant.risky_urn5_num_color1,participant.risky_urn5_num_color2,participant.risky_urn2_num_color,participant.amb1_urn5_color_code1,participant.amb1_urn5_color_code2,participant.amb1_urn2_color_code,participant.amb1_urn5_num_color1,participant.amb1_urn5_num_color2,participant.amb1_urn2_num_color,participant.amb2_urn5_color_code1,participant.amb2_urn5_color_code2,participant.amb2_urn2_color_code,participant.amb2_urn5_num_color1,participant.amb2_urn5_num_color2,participant.amb2_urn2_num_color,session.config.numballs,randomization.1.player.order1,randomization.1.player.order2,randomization.1.player.risk_order,randomization.1.player.ambiguity_order,randomization.1.player.amb1_urn5_colorevent1,randomization.1.player.amb1_urn5_colorevent2,randomization.1.player.amb1_urn2_colorevent,randomization.1.player.risky_urn5_colorevent1,randomization.1.player.risky_urn5_colorevent2,randomization.1.player.risky_urn2_colorevent,randomization.1.player.amb2_urn5_colorevent1,randomization.1.player.amb2_urn5_colorevent2,randomization.1.player.amb2_urn2_colorevent,randomization.1.player.paid_round_1,randomization.1.player.roll_event_1,randomization.1.player.roll_BSR_paid_round_1,randomization.1.player.paid_table_2,randomization.1.player.paid_row_2,randomization.1.player.roll_lottery_2,randomization.1.player.paid_table_3,randomization.1.player.paid_row_3,randomization.1.player.ball_drawn_unknown,randomization.1.player.ball_drawn_known,randomization.1.player.paid_part
1,"[1, 12, 9, 3, 7]","[2, 5, 6, 8, 11]","[4, 10]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[14, 22, 13, 20, 21]","[15, 19, 18, 16, 17]","[23, 24]","[13, 20, 23, 25, 19]","[20, 18, 23, 15, 24]","[59, 41]","[10, 11, 1, 9, 4]","[8, 2, 7, 6, 5]","[3, 12]","[19, 18, 15, 30, 18]","[27, 22, 15, 16, 20]","[48, 52]",100,3,2,4,5,20,17,24,12,5,10,9,2,3,1,79,33.59872718,1,1,57,2,20,99,5,3
2,"[2, 1, 10, 8, 7]","[11, 3, 12, 4, 6]","[5, 9]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[21, 13, 22, 23, 20]","[17, 24, 14, 15, 18]","[16, 19]","[21, 25, 18, 20, 16]","[22, 23, 18, 19, 18]","[46, 54]","[9, 10, 6, 11, 8]","[5, 4, 1, 3, 12]","[2, 7]","[21, 19, 19, 16, 25]","[19, 20, 18, 20, 23]","[47, 53]",100,6,4,3,2,23,24,19,1,4,5,10,1,2,1,55,34.0047242,3,13,94,3,7,13,83,2
3,"[1, 8, 7, 9, 11]","[3, 6, 2, 12, 5]","[4, 10]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[17, 21, 13, 16, 19]","[18, 24, 15, 23, 20]","[14, 22]","[24, 18, 26, 20, 12]","[24, 21, 19, 16, 20]","[39, 61]","[11, 5, 8, 2, 1]","[10, 4, 9, 3, 7]","[6, 12]","[25, 16, 18, 22, 19]","[24, 21, 18, 21, 16]","[42, 58]",100,6,6,5,6,21,23,22,11,3,10,5,9,12,3,33,81.35129603,3,4,10,3,9,59,25,1
4,"[1, 9, 3, 8, 7]","[12, 4, 10, 6, 5]","[2, 11]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[13, 15, 21, 19, 18]","[24, 14, 16, 17, 22]","[20, 23]","[20, 14, 29, 21, 16]","[23, 15, 21, 16, 25]","[46, 54]","[3, 8, 1, 9, 5]","[10, 7, 12, 11, 4]","[2, 6]","[13, 14, 23, 22, 28]","[21, 21, 15, 14, 29]","[55, 45]",100,4,5,1,2,19,17,20,8,10,2,1,11,6,5,59,64.66455892,3,20,38,2,2,27,24,2
5,"[1, 6, 8, 2, 10]","[12, 4, 11, 5, 7]","[3, 9]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[14, 19, 23, 24, 16]","[17, 13, 22, 15, 21]","[18, 20]","[12, 18, 23, 20, 27]","[21, 19, 19, 23, 18]","[43, 57]","[12, 5, 8, 4, 1]","[2, 3, 9, 10, 6]","[7, 11]","[21, 25, 19, 13, 22]","[21, 22, 20, 22, 15]","[48, 52]",100,5,4,5,2,14,17,20,8,5,3,12,9,7,5,2,39.5946565,3,4,52,2,16,6,7,3
6,"[9, 6, 1, 3, 8]","[4, 7, 10, 12, 2]","[5, 11]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[22, 20, 23, 19, 18]","[15, 17, 16, 21, 14]","[13, 24]","[14, 20, 20, 20, 26]","[23, 13, 26, 22, 16]","[52, 48]","[12, 6, 10, 1, 5]","[2, 3, 7, 11, 4]","[8, 9]","[28, 18, 11, 26, 17]","[23, 20, 23, 18, 16]","[52, 48]",100,4,5,5,6,19,14,13,3,7,5,6,7,9,5,49,88.37481606,3,22,69,3,14,58,63,2
7,"[6, 5, 11, 1, 10]","[2, 9, 4, 7, 12]","[3, 8]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[19, 22, 20, 14, 24]","[23, 15, 21, 13, 18]","[16, 17]","[25, 18, 16, 19, 22]","[16, 20, 20, 28, 16]","[49, 51]","[3, 11, 7, 5, 4]","[10, 9, 12, 2, 8]","[1, 6]","[19, 23, 22, 19, 17]","[15, 23, 24, 20, 18]","[46, 54]",100,5,1,6,2,24,23,16,10,4,8,3,10,1,1,60,9.851108832,1,7,48,3,13,19,5,2
8,"[9, 3, 2, 12, 1]","[6, 4, 5, 8, 7]","[10, 11]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[24, 17, 15, 23, 16]","[21, 14, 22, 20, 19]","[13, 18]","[24, 24, 13, 19, 20]","[18, 24, 22, 13, 23]","[54, 46]","[9, 2, 1, 5, 3]","[11, 10, 12, 4, 8]","[6, 7]","[15, 29, 15, 27, 14]","[20, 16, 23, 18, 23]","[43, 57]",100,4,4,1,6,16,19,13,12,4,10,3,12,7,2,43,73.14085796,2,1,38,2,5,40,33,2
9,"[5, 4, 11, 8, 6]","[12, 10, 3, 9, 7]","[1, 2]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[13, 20, 17, 24, 23]","[19, 18, 22, 15, 14]","[16, 21]","[26, 18, 16, 17, 23]","[27, 21, 14, 24, 14]","[48, 52]","[11, 9, 6, 3, 7]","[5, 8, 2, 10, 12]","[1, 4]","[19, 24, 18, 19, 20]","[20, 27, 16, 21, 16]","[50, 50]",100,1,3,5,2,20,18,16,5,3,2,9,8,1,5,74,41.33891645,3,7,37,2,9,87,4,3
10,"[2, 5, 3, 9, 7]","[8, 4, 6, 10, 11]","[1, 12]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[14, 15, 20, 17, 23]","[18, 16, 13, 24, 19]","[21, 22]","[14, 23, 20, 22, 21]","[25, 19, 18, 21, 17]","[53, 47]","[7, 2, 1, 5, 12]","[9, 6, 8, 4, 10]","[3, 11]","[21, 21, 24, 21, 13]","[27, 17, 20, 20, 16]","[48, 52]",100,2,2,2,2,23,19,22,2,11,12,7,8,11,4,52,67.40426313,2,28,70,2,6,18,46,2
